gene_name	mean_length	median_length	max_length	gene_synonyms
UGT1A13P	1098.0	1098.0	1098	
UGT1A9	2371.0	2371.0	2371	HLUGP4,LUGP4,UDPGT,UDPGT 1-9,UGT-1I,UGT1-09,UGT1-9,UGT1.9,UGT1A9S,UGT1AI,UGT1I
UGT1A7	2333.0	2333.0	2333	GNT1,hUG-BR1,UDPGT,UDPGT 1-7,UGT-1A,UGT-1G,UGT1,UGT1-01,UGT1-07,UGT1.1,UGT1.7,UGT1A,UGT1A1,UGT1G
UGT1A6	2076.0	2076.0	2455	GNT1,HLUGP,HLUGP1,hUG-BR1,UDPGT,UDPGT 1-6,UGT-1A,UGT-1C,UGT-1E,UGT1,UGT1-01,UGT1-03,UGT1-05,UGT1.1,UGT1.3,UGT1.5,UGT1A,UGT1A1,UGT1A3,UGT1A5,UGT1A6S,UGT1C,UGT1E,UGT1F
UGT1A5	2345.0	2345.0	2345	UDPGT,UDPGT 1-5,UGT1E
UGT1A4	2431.0	2431.0	2431	GNT1,hUG-BR1,HUG-BR2,UDPGT,UDPGT 1-4,UGT-1A,UGT-1D,UGT1,UGT1-01,UGT1-04,UGT1.1,UGT1.4,UGT1A,UGT1A1,UGT1A4S,UGT1D
RPL17P11	619.0	619.0	619	RPL17_3_336
UGT1A3	2345.0	2345.0	2345	UDPGT,UDPGT 1-3,UGT-1C,UGT1-03,UGT1.3,UGT1A3S,UGT1C
DNAJB3	1249.0	1249.0	1249	HCG3
UGT1A2P	1402.0	1402.0	1402	UGT1BP
LOC100286922	841.0	815.0	1030	
UGT1A1	2361.0	2361.0	2361	BILIQTL1,GNT1,HUG-BR1,UDPGT,UDPGT 1-1,UGT1,UGT1A
MROH2A	5366.142857142857	5397.5	6990	HEATR7B1
HJURP	2890.0	2980.5	3157	FAKTS,hFLEG1,URLC9
MSL3P1	1997.0	1997.0	1997	MSL3L2
TRPM8	5730.333333333333	5615.0	7395	LTrpC-6,LTRPC6,trp-p8,TRPP8
SPP2	1715.8	1332.0	2710	SPP-24,SPP24
LOC105373932	959.0	959.0	959	
LOC105373933	2293.3333333333335	2200.0	2889	
RPS20P12	472.0	472.0	472	RPS20_4_337
LINC01891	538.0	538.0	538	
HSPE1P9	804.0	804.0	804	
ARL4C	3937.5	3937.5	4009	ARL7,LAK
LOC105373936	2084.0	2084.0	2084	
LINC01173	331.0	331.0	331	
HSPA8P10	871.0	871.0	871	
LOC101927896	2135.0	2135.0	2135	
LOC105373937	785.0	785.0	785	
LOC105373938	2224.8333333333335	2325.0	2512	
SH3BP4	5189.857142857143	5150.0	5431	BOG25,TTP
LOC105373939	773.0	819.0	865	
LOC642692	867.0	867.0	867	
LOC105373940	528.0	528.0	528	
LOC105373941	384.0	384.0	384	
AGAP1	9069.5625	10809.5	11182	AGAP-1,CENTG2,cnt-g2,GGAP1
AGAP1-IT1	664.0	664.0	664	
TNRC17	4182.0	4182.0	4182	CAGL234
LOC105373943	6123.0	6123.0	6123	
LOC107986000	2319.0	2319.0	2319	
LOC105373942	5604.8	6281.0	7232	
TMSB10P1	411.0	411.0	411	
RNU7-127P	62.0	62.0	62	
RN7SL204P	262.0	262.0	262	
LOC105373944	2110.0	2110.0	2110	
GBX2	2158.5	2158.5	2177	
ASB18	2821.0	2821.0	2821	ASB-18
RNU1-31P	176.0	176.0	176	
IQCA1	3042.5	3112.0	3280	4930465P12Rik,DRC11,IQCA
LOC105373945	6024.0	6412.5	6620	
RPL3P5	1314.0	1314.0	1314	RPL3_1_338
ACKR3	2057.75	2006.0	2245	CMKOR1,CXC-R7,CXCR-7,CXCR7,GPR159,RDC-1,RDC1
LOC105373991	1619.0	1619.0	1619	
LOC107986001	268.5	268.5	272	
LOC105373946	526.0	526.0	526	
LOC105373947	1493.5	1493.5	1786	
LOC105373948	1386.3333333333333	1405.0	1601	
LOC105373949	1561.25	1561.0	1623	
LOC107986002	277.0	277.0	277	
LOC105373951	3106.5	3106.5	4017	
RNU6-1051P	102.0	102.0	102	
LOC93463	2231.0	2231.0	2231	
LOC105373950	6599.5	6599.5	6873	
COPS8	2880.5	2880.5	3438	COP9,CSN8,SGN8
LOC105373952	1689.0	1689.0	1689	
LOC105373953	2672.0	2794.0	3416	
LOC105373954	2729.5	2729.5	3503	
COL6A3	8521.7	9606.0	10532	BTHLM1,DYT27,UCMD1
LOC105373957	1375.0	1375.0	1375	
MLPH	3053.5454545454545	3384.0	4110	SLAC2-A
MIR6811	33.666666666666664	22.0	58	hsa-mir-6811
MTND5P46	2665.0	2665.0	2665	
RNU6-1140P	68.0	68.0	68	
PRLH	264.0	264.0	264	PRH,PRRP
RAB17	2029.6	1928.0	2769	
LOC105373958	1482.0	1569.0	1585	
LRRFIP1	7431.377358490566	9519.0	10299	FLAP-1,FLAP1,FLIIAP1,GCF-2,GCF2,HUFI-1,TRIP
RBM44	3540.090909090909	3018.0	4997	
RAMP1	968.8571428571429	917.0	1299	
LOC105373960	1411.5	1411.5	1570	
UBE2F-SCLY	2972.0	2972.0	2972	
UBE2F	2153.0	2136.5	2305	NCE2
RNU6-1333P	93.0	93.0	93	
SCLY	2450.0	2450.0	2450	hSCL,SCL
ESPNL	3905.6666666666665	3610.0	4653	
KLHL30	3780.0	3780.0	3780	
ERFE	2939.0	2939.0	2939	C1QTNF15,CTRP15,FAM132B
ILKAP	1667.7777777777778	1426.0	3421	ILKAP2,ILKAP3,PP2C-DELTA,PPM1O
LINC02610	1402.5	1402.5	1959	
LOC643387	2660.0	2660.0	2660	
HES6	1352.6666666666667	1362.0	1368	bHLHb41,bHLHc23,C-HAIRY1,HES-6
PER2	6334.333333333333	6328.0	6380	FASPS,FASPS1
LOC112268433	795.0	795.0	795	
LOC105373961	550.0	550.0	550	
TRAF3IP1	3915.076923076923	4135.0	4333	IFT54,MIP-T3,MIPT3,SLSN9
RNU6-234P	80.0	80.0	80	
ASB1	6739.5	6739.5	6891	ASB-1
LOC107986003	7447.0	7447.0	7447	
LOC100419686	675.0	675.0	675	
LINC01107	2420.0	2420.0	2420	
LOC112268434	6102.0	6102.0	6102	
LOC105373963	509.0	509.0	509	
LINC01937	3612.0	3612.0	3612	
LOC100287387	3362.0	3362.0	3362	
TWIST2	1235.0	1235.0	1342	AMS,BBRSAY,bHLHa39,DERMO1,FFDD3,SETLSS
LINC01940	3489.0	3489.0	3489	
HDAC4	11036.65	8921.5	14937	AHO3,BDMR,HA6116,HD4,HDAC-4,HDAC-A,HDACA
MIR4440	60.0	60.0	98	mir-4440
MIR4441	58.5	58.5	100	
MGC16025	2127.0	2127.0	2127	
MIR4269	52.5	52.5	84	
MIR2467	42.0	23.0	81	mir-2467
HDAC4-AS1	446.0	414.0	540	
LOC401040	1878.5	1878.5	3599	
LOC105373966	2223.0	2223.0	2223	
LOC150935	1019.0	1019.0	1019	
NDUFA10	5026.111111111111	4746.0	7897	CI-42k,CI-42KD,MC1DN22
MIR4786	41.333333333333336	22.0	80	mir-4786
OR6B2	939.0	939.0	939	OR2-1,OR6B2P
OR6B3	1427.5	1427.5	1859	OR6B3P,OR6B3Q
OR9S24P	928.0	928.0	928	OR5J6P
OR5S1P	948.0	948.0	948	
COPS9	792.0	759.0	1199	CSNAP,MYEOV2
OTOS	822.0	607.0	1288	OTOSP
LOC107985836	531.0	531.0	531	
LOC105373968	4167.0	4167.0	4167	
LOC102723825	828.5	828.5	934	
GPC1	3652.0	3652.0	3719	glypican
LOC100130449	959.0	959.0	959	
MIR149	44.333333333333336	23.0	89	mir-149,MIRN149
ANKMY1	3300.9655172413795	3327.0	4044	ZMYND13
DUSP28	4028.75	4668.5	5223	DUSP26,VHP
RNPEPL1	4403.5	4403.5	5761	
CAPN10-DT	3567.0	3567.0	3567	CAPN10-AS1,locus959
CAPN10	2388.5	2388.5	2621	CANP10,NIDDM1
GPR35	2003.0	2130.0	2244	
LOC100420500	695.0	695.0	695	
AQP12B	2169.125	1762.5	5850	INSSA3
LOC285191	2106.0	2106.0	2106	
AQP12A	1063.0	1063.0	1063	AQP-12,AQP12,AQPX2
KIF1A	8962.0	8920.0	9223	ATSV,C2orf20,HSN2C,MRD9,SPG30,UNC104
AGXT	2900.0	2900.0	2900	AGT,AGT1,AGXT1,PH1,SPAT,SPT,TLH6
MAB21L4	2253.75	2266.0	2525	C2orf54
CROCC2	6349.5	6349.5	7329	
LOC112268440	1248.0	1248.0	1248	
LOC200772	2274.0	2274.0	2274	
SNED1	7893.631578947368	8488.0	9379	IRE-BP1,Snep,SST3
LOC107985787	3398.0	3398.0	3443	
LOC105373970	2879.0	2879.0	2879	
MTERF4	3525.1363636363635	3998.0	6639	MTERFD2
PASK	4404.294117647059	4584.0	5170	PASKIN,STK37
PPP1R7	1766.0	1826.0	2619	SDS22
LOC105373971	825.0	825.0	825	
ANO7	3105.0	3368.0	4560	D-TMPP,DTMPP,IPCA-5,IPCA5,NGEP,PCANAP5,PCANAP5L,TMEM16G
LOC105376810	571.0	571.0	571	
HDLBP	5315.333333333333	5043.0	6519	HBP,PRO2900,VGL
LOC101927509	4948.0	4948.0	4948	
SEPTIN2	3371.268292682927	3416.0	4010	DIFF6,hNedd5,NEDD-5,NEDD5,Pnutl3,SEPT2
FARP2	3337.1666666666665	3951.5	4288	FIR,FRG,PLEKHC3
LOC105373973	839.0	1066.0	1076	
MIR3133	50.0	50.0	78	
LOC100422094	880.0	880.0	880	
STK25	3090.176470588235	2459.0	4583	SOK1,YSK1
LOC107985788	615.0	615.0	615	
BOK-AS1	828.0	828.0	828	BOK-AS,BOKAS,NAToB,NCRNA00151
LOC105373974	483.0	483.0	510	
BOK	2556.4	2626.0	2742	BCL2L9,BOKL
LOC105373975	1598.2	865.0	2822	
THAP4	1907.2	2076.0	2542	CGI-36,Nb(III),PP238
RNA5SP122	108.0	108.0	108	RN5S122
ATG4B	2441.090909090909	2509.0	3616	APG4B,AUTL1
DTYMK	996.875	986.5	1168	CDC8,PP3731,TMPK,TYMK
ING5	4553.545454545455	5197.0	7443	p28ING5
D2HGDH	1873.44	1705.0	3044	D2HGD
LOC105373976	1800.0	1800.0	1800	
GAL3ST2	1452.0	1452.0	1452	GAL3ST-2,GP3ST
NEU4	1932.8	1905.0	2070	
LOC107986004	4229.0	4229.0	4229	
PDCD1	1652.6666666666667	2097.0	2111	CD279,hPD-1,hPD-l,hSLE1,PD-1,PD1,SLEB2
LOC105373977	1767.0	1767.0	1767	
RTP5	2497.6666666666665	2296.0	3649	C2orf85,CXXC11,Z3CXXC5
LOC105373978	563.0	563.0	563	
LINC01237	576.0	576.0	576	
LOC285095	586.0	593.0	633	
LINC01238	2170.0	2170.0	2170	
LOC285097	4805.0	4805.0	4805	
LOC105373980	4167.0	4167.0	4167	
LINC01880	572.0	572.0	572	
LINC01881	1387.25	1394.5	1494	
CICP10	266.0	266.0	266	
SEPTIN14P2	2568.0	2568.0	2568	SEPT14P2
RPL23AP88	528.0	528.0	528	
LINC01986	696.0	696.0	696	
LOC105376921	675.0	675.0	675	
LOC107986040	401.0	401.0	401	
LOC107986057	802.0	541.0	1353	
CHL1-AS2	678.0	678.0	726	
CHL1	7727.105263157895	7817.0	12528	CALL,L1CAM2
RNU6-1194P	104.0	104.0	104	
RPS8P6	603.0	603.0	603	RPS8_1_339
CHL1-AS1	910.0	910.0	910	
LOC105376922	3665.0	3665.0	3665	
LINC01266	3851.0	3851.0	3851	
RPSAP32	601.0	601.0	601	
LOC107986058	8296.0	8296.0	8296	
LOC107986059	1026.0	1026.0	1026	
CNTN6	3836.695652173913	3959.0	4422	NB3
RN7SL120P	296.0	296.0	296	
LOC105376924	2654.0	2654.0	2654	
LOC105376923	9171.0	9171.0	9171	
CRB3P1	276.0	276.0	276	
RPL23AP38	721.0	721.0	721	RPL23A_11_340
RPL23AP39	421.0	421.0	421	RPL23A_15_341
RPL21P17	522.0	522.0	522	RPL21_9_342
RN7SKP144	235.0	235.0	235	
CNTN4	6107.888888888889	6305.0	9127	AXCAM,BIG-2
CNTN4-AS2	426.0	426.0	426	
LOC105376926	1021.5	1021.5	1046	
DNAJC19P4	345.0	345.0	345	
CNTN4-AS1	1012.0	1012.0	1012	
IL5RA	4020.8888888888887	5654.0	5808	CD125,CDw125,HSIL5R3,IL5R
TRNT1	2848.1666666666665	2559.0	5494	CCA1,CGI-47,MtCCA,RPEM,SIFD
CRBN	2635.875	2629.0	3586	MRT2,MRT2A
LOC100130207	2344.0	2344.0	2344	
LRRN1	6122.333333333333	6165.0	6242	FIGLER3,NLRR-1
LOC107986007	279.0	279.0	279	
PNPT1P1	1775.0	1775.0	1775	
LOC102723512	8382.0	8382.0	8382	
SUMF1	2220.1	2124.0	3040	AAPA3037,FGE,UNQ3037
SETMAR	2497.25	1726.0	5151	Mar1,METNASE
LOC107986008	844.0	844.0	844	
MRPS10P2	404.0	404.0	404	MRPS10P3,MRPS10P4
ITPR1-DT	1432.0	1432.0	1432	ITPR1-AS1
ITPR1	9482.421052631578	9834.0	10197	ACV,CLA4,INSP3R1,IP3R,IP3R1,PPP1R94,SCA15,SCA16,SCA29
LOC105376933	3381.0	3381.0	3381	
EGOT	1464.0	1464.0	1464	EGO,NCRNA00190
BHLHE40-AS1	2357.75	2382.5	2451	
BHLHE40	3162.0	3162.0	3172	BHLHB2,Clast5,DEC1,HLHB2,SHARP-2,SHARP2,STRA13,Stra14
LOC105376934	952.0	952.0	1028	
RNF10P1	615.0	615.0	615	
UBTFL8	4931.0	4931.0	4931	
ARL8B	2933.0	2933.0	2933	ARL10C,Gie1
EDEM1	6162.4	6113.0	6445	EDEM
MIR4790	40.333333333333336	22.0	79	
RN7SL553P	298.0	298.0	298	
LOC105376936	848.0	848.0	848	
MRPS35P1	128.0	128.0	128	
LOC105376939	1472.0	1472.0	1472	
LOC105376938	4280.0	4280.0	4280	
LOC105376940	537.0	537.0	537	
LOC105376941	1553.25	1740.5	1958	
LOC102723596	1656.5	1656.5	2595	
LOC105376942	1349.0	1349.0	1831	
GRM7-AS3	474.0	474.0	483	
LOC105376944	2067.2	1988.0	2379	
MRPS36P1	534.0	534.0	534	
LOC105376943	772.0	772.0	772	
LOC105376945	656.0	656.0	656	
GRM7	6774.0	5705.0	10951	GLUR7,GPRC1G,MGLU7,MGLUR7,PPP1R87
GRM7-AS2	510.0	510.0	510	
GRM7-AS1	430.0	430.0	430	
LOC101927394	2683.0	2683.0	2683	
LMCD1-AS1	2147.0	2147.0	2147	
LOC107986010	7815.0	7815.0	7815	
RNU4ATAC17P	120.0	120.0	120	
LMCD1	5055.0	5217.5	8284	
LINC00312	2887.0	2887.0	2887	ERR-10,ERR10,LMCD1DN,LOH3CR2A,NAG-7,NAG7,NCRNA00312
LOC107986009	653.0	653.0	921	
SSUH2	3440.2380952380954	2810.5	6859	C3orf32,fls485,SSU-2
OR7E122P	921.0	921.0	921	OST719
CAV3	1374.0	1374.0	1422	LGMD1C,LQT9,MPDT,RMD2,VIP-21,VIP21
OXTR	4233.6	4281.0	4361	OT-R
LOC107986061	6685.0	6685.0	6685	
LOC107984112	9427.5	9427.5	9572	
RAD18	4419.0	4419.0	5857	RNF73
SRGAP3	8249.066666666668	8923.0	10807	ARHGAP14,MEGAP,SRGAP2,WRP
SRGAP3-AS2	1262.0	1262.0	1293	
SRGAP3-AS3	1223.0	1223.0	1223	
SRGAP3-AS4	443.0	443.0	443	
PGAM1P4	996.0	996.0	996	
THUMPD3	3461.5	3486.0	4343	
THUMPD3-AS1	1597.0	1872.0	1946	SETD5-AS1
SETD5	7787.058823529412	7192.0	11853	
LHFPL4	4197.666666666667	4900.0	5418	GARLH4
LOC105376949	505.0	505.0	505	
DUSP5P2	1219.0	1219.0	1219	
MTMR14	2326.0833333333335	2298.5	2694	C3orf29
CPNE9	2050.125	1776.5	3952	
BRPF1	4724.153846153846	4732.0	4912	BR140,IDDDFP
OGG1	1769.875	1700.0	2700	HMMH,HOGG1,MUTM,OGH1
CAMK1	1458.1666666666667	1461.5	1577	CAMKI
TADA3	2301.0	2233.0	2829	ADA3,hADA3,NGG1,STAF54,TADA3L
ARPC4	1787.25	1788.0	2113	ARC20,P20-ARC
ARPC4-TTLL3	3987.0	3987.0	3987	ARC20,ARPC4,p20-ARC
TTLL3	3650.6666666666665	3716.0	3867	HOTTL
RPUSD3	1204.4285714285713	1274.0	1342	
MARK2P1	628.0	628.0	628	
CIDEC	1203.0	1213.5	1305	CIDE-3,CIDE3,FPLD5,FSP27
JAGN1	1690.0	1690.0	1743	GL009,SCN6
IL17RE	2118.0	2525.0	2809	
IL17RC	2457.848484848485	2493.0	2625	CANDF9,IL17-RL,IL17RL
RNU6-882P	103.0	103.0	103	
CRELD1	2444.6	2390.0	2695	AVSD2,CIRRIN
PRRT3	3276.8	3775.0	3860	
PRRT3-AS1	614.0	614.0	614	
EMC3	1794.6666666666667	1552.0	2642	POB,TMEM111
EMC3-AS1	4696.0	4696.0	4696	
FANCD2P1	1455.0	1455.0	1455	
CYCSP10	669.0	669.0	669	HCP10
MARK2P2	750.0	750.0	750	
CIDECP1	803.0	803.0	803	CICE,CIDECP
FANCD2	5198.666666666667	5196.0	5249	FA-D2,FA4,FACD,FAD,FAD2,FANCD
RNU6-670P	104.0	104.0	104	
CYCSP11	694.0	694.0	694	HCP11
FANCD2OS	1139.5	1062.5	1510	C3orf24
BRK1	1150.0	1150.0	1150	C3orf10,hHBrk1,HSPC300,MDS027
VHL	4467.0	4550.0	4560	HRCA1,pVHL,RCA1,VHL1
IRAK2	3431.0	3431.0	3431	IRAK-2
TATDN2	4937.0	4937.0	4937	
MIR12127	63.5	63.5	102	
GHRLOS	1828.3333333333333	1863.5	1948	GHRL-AS1,GHRLAS,NCRNA00068
LINC00852	1328.0	1328.0	1328	C3orf42,GHRL-AS2,GHRLOS2,NAG73
GHRL	1230.0714285714287	971.5	2663	MTLRP
SEC13	1396.7142857142858	1454.0	1627	D3S1231E,npp-20,SEC13L1,SEC13R
ATP2B2	8107.888888888889	8838.0	9189	PMCA2,PMCA2a,PMCA2i
MIR378B	38.0	38.0	57	
MIR885	39.333333333333336	22.0	74	hsa-mir-885,mir-885,MIRN885
ATP2B2-IT2	513.0	513.0	513	
LINC00606	2924.5	2924.5	3028	
SLC6A11	5297.25	3749.5	11069	GAT-3,GAT3,GAT4
LOC105376950	3831.0	3831.0	3831	
SLC6A1	5087.727272727273	4606.0	6532	GABATHG,GABATR,GAT1,MAE
SLC6A1-AS1	584.0	584.0	584	
LOC101927467	1722.0	1722.0	1722	
HRH1	4593.75	4625.5	4717	H1-R,H1R,HH1R,hisH1
LOC105376951	1696.0	1912.0	2152	
LOC102723663	1268.75	1275.5	1378	
CHCHD4P4	722.0	722.0	722	
ATG7	3254.057142857143	2719.0	5333	APG7-LIKE,APG7L,GSA7
VGLL4	3548.769230769231	3546.0	3775	VGL-4
LOC105376952	3247.0	3247.0	3247	
TAMM41	1993.909090909091	1830.0	3802	C3orf31,RAM41,TAM41
FANCD2P2	19903.0	19903.0	19903	
CYCSP12	672.0	672.0	672	CYCSP13,HCP12,HCP13
NUP210P2	1241.0	1241.0	1241	
LOC100533755	1126.0	1126.0	1126	
MARK2P14	6858.0	6858.0	6858	
RN7SL147P	298.0	298.0	298	
SYN2	3262.1428571428573	3320.0	4079	SYNII
ACTG1P12	1406.0	1406.0	1406	
TIMP4	1194.0	1194.0	1194	TIMP-4
MTCO1P5	344.0	344.0	344	
GSTM5P1	1107.0	1107.0	1107	GST1L,GSTM1L
PPARG	2472.7	1868.5	5339	CIMT1,GLM1,NR1C3,PPARG1,PPARG2,PPARgamma
TSEN2	2200.2051282051284	2173.0	2753	PCH2B,SEN2,SEN2L
RNA5SP123	119.0	119.0	119	RN5S123
RNU6-377P	102.0	102.0	102	
MKRN2OS	1656.6	1650.0	2071	C3orf83,MKRN2-AS1
MKRN2	2747.0	2747.0	2775	HSPC070,RNF62
RAF1	3026.5714285714284	3147.5	3297	c-Raf,CMD1NN,CRAF,NS5,Raf-1
CRIP1P1	185.0	185.0	185	
TMEM40	1828.2	1935.0	2161	
KRT18P17	1386.0	1386.0	1386	
CAND2	4312.75	4397.5	4710	TIP120B,Tp120b
RPL32	1871.3333333333333	1770.0	2094	L32,PP9932
SNORA7A	139.0	139.0	139	ACA7
MARK3P2	1373.0	1373.0	1373	
LOC100421504	1564.0	1564.0	1564	
LOC100421505	1188.0	1188.0	1188	
LOC105376956	2918.5	2688.0	5188	
LINC02022	635.0	635.0	635	
IQSEC1	7211.692307692308	7343.0	7700	ARF-GEP100,ARFGEP100,BRAG2,GEP100
RPL39P17	405.0	405.0	405	RPL39_6_343
LOC112267878	5057.0	5057.0	5057	
NUP210	5449.1	5100.5	7277	GP210,POM210
HDAC11-AS1	510.0	510.0	510	
HDAC11	2839.0714285714284	2790.0	3752	HD11
FBLN2	4284.0	4235.5	4563	
SNORA93	168.0	168.0	168	
LOC100293612	1452.0	1452.0	1452	
LINC00620	994.0	994.0	994	
TRSUP-CTA2-1	68.0	68.0	68	TRNASUP4P
WNT7A	2964.5	2964.5	3991	Wnt-7a
LOC105376957	5327.0	6290.5	6891	
VN1R20P	900.0	900.0	900	
FGD5P1	3374.0	3374.0	3374	
TPRXL	2263.0	2263.0	2263	TPRX3P
LOC112268445	7005.0	7005.0	8815	
VN1R21P	806.0	806.0	806	
CHCHD4	1518.0	1518.0	1603	MIA40,TIMM40
TMEM43	3424.5	3424.5	3507	ARVC5,ARVD5,EDMD7,LUMA
XPC	3818.8	3673.5	5267	p125,RAD4,XP3,XPCC
LOC107986063	1255.0	1255.0	1255	
LSM3	3359.0	3359.0	3359	SMX4,USS2,YLR438C
LOC105376958	1398.0	1398.0	1398	
LINC01267	2284.0	2284.0	2284	
LOC105376959	1980.0	1980.0	1980	
RNA5SP124	110.0	110.0	110	RN5S124
SLC6A6	5340.444444444444	6334.0	6658	TAUT
GRIP2	11253.0	11721.0	12288	
RNU6-905P	107.0	107.0	107	
RHBDF1P1	2139.0	2139.0	2139	
LOC105376960	6879.5	6879.5	6965	
CCDC174	2524.5	2785.0	2940	C3orf19,HSPC212,IHPM,IHPMR
C3orf20	3217.909090909091	2889.0	5149	
LINC02011	3830.0	3830.0	3830	
FGD5	5806.0	5804.5	5903	ZFYVE23
LOC105376963	639.0	639.0	639	
FGD5-AS1	3734.2	3772.0	3805	
NR2C2	8454.384615384615	8383.0	9349	TAK1,TR4
MRPS25	5344.25	4404.5	8420	MRP-S25,RPMS25
RBSN	6064.75	6524.5	6846	Rabenosyn-5,ZFYVE20
RPS24P10	368.0	368.0	368	RPS24_3_344
RPS3AP53	849.0	849.0	849	
COL6A4P1	2249.0	2249.0	2249	COL6A4,COL6A4P,DIVA,DVWA,VWA6
CAPN7	3218.733333333333	3498.0	4348	CALPAIN7,PALBH
SH3BP5-AS1	5575.0	5575.0	5575	
SH3BP5	2828.375	2727.0	3279	SAB,SH3BP-5
RNU6-454P	102.0	102.0	102	
HMGN2P7	1508.0	1508.0	1508	HMGN2L7
METTL6	2956.5555555555557	2564.0	6351	
EAF1	4433.75	4471.0	4500	
RNU6-1024P	106.0	106.0	106	
COLQ	2984.0	2960.0	3134	CMS5,EAD
MIR4270	45.0	45.0	70	
LOC105376964	3439.0	3439.0	3439	
RN7SL110P	283.0	283.0	283	
HACL1	1871.8	1830.0	2009	2-HPCL,HPCL,HPCL2,PHYH2
BTD	6803.636363636364	9964.0	10352	
ANKRD28	5518.740740740741	5317.0	7753	PITK,PPP1R65
MIR3134	48.5	48.5	74	
RN7SL4P	272.0	272.0	272	7L28,RN7SL427P,RN7SLP1
LOC101927647	4934.0	4934.0	4934	
MIR563	49.0	49.0	79	hsa-mir-563,MIRN563
IMPDH1P8	2371.0	2371.0	2371	
LOC107986064	3112.6666666666665	3080.0	4057	
GALNT15	5305.571428571428	4705.0	12535	GALNACT15,GALNT13,GALNT7,GALNTL2,PIH5,pp-GalNAc-T15
DPH3	3981.5	3981.5	4019	DELGIP,DELGIP1,DESR1,DPH3A,KTI11,ZCSL2
OXNAD1	4531.909090909091	3958.0	10185	
THAP5P2	1846.0	1846.0	1846	
LOC107986065	3917.0	3917.0	3917	
RFTN1	2891.1	2912.0	3399	MIG2,PIB10,PIG9,RAFTLIN
LINC00690	1367.0	1367.0	1367	
DAZL	3039.0	3039.0	3104	DAZH,DAZL1,DAZLA,SPGYLA
CDYLP1	685.0	685.0	685	
LOC105377641	3703.6666666666665	3743.0	3750	
PLCL2	6576.571428571428	4534.0	12244	PLCE2
LOC105376972	4233.0	4209.0	4285	
MIR3714	43.5	43.5	65	
TBC1D5	6529.787878787879	6614.0	7854	
RPL31P19	350.0	350.0	350	RPL31_5_346
RNU7-10P	58.0	58.0	58	U7.10
TRC-GCA25-1	73.0	73.0	73	TRNAC31P
LOC105376975	470.0	470.0	470	
PP1P	1285.0	1285.0	1285	
PDCL3P3	931.0	931.0	931	
LOC339862	2355.0	2355.0	2355	
SATB1	5949.833333333333	6232.5	7918	
SATB1-AS1	843.0	843.0	843	
RAD23BP1	1492.0	1492.0	1492	
LOC105376976	481.5	481.5	492	
LOC105376978	1776.25	1972.5	2197	
RNU6-138P	107.0	107.0	107	
LOC107986066	913.0	913.0	1281	
LOC105376981	7238.0	7238.0	7238	
KCNH8	4374.111111111111	4241.0	5077	ELK,ELK1,elk3,Kv12.1
MIR4791	51.0	51.0	84	mir-4791
LOC105376982	2724.5	2724.5	4499	
LOC105376984	2127.5	2127.5	2161	
EFHB	2395.9166666666665	2300.0	2941	CFAP21
HSPA8P18	3193.0	3193.0	3193	
RAB5A	2830.0	2518.0	3479	RAB5
PP2D1	1859.0	1859.0	2119	C3orf48
RNU4-85P	123.0	123.0	123	
SAP18P3	455.0	455.0	455	
RPL39P18	399.0	399.0	399	RPL39_7_347
KAT2B	4392.5	4367.0	4615	CAF,P/CAF,PCAF
MIR3135A	49.5	49.5	77	hsa-mir-3135a,MIR3135
SGO1	2221.2105263157896	2234.0	3333	CAID,NY-BR-85,SGO,SGOL1
SGO1-AS1	499.0	499.0	499	SGOL1-AS1
LOC107986067	2209.0	2209.0	4165	
RNY4P22	93.0	93.0	93	
RNU6-822P	106.0	106.0	106	
LOC101927829	2041.0	2041.0	2041	
RNU6-815P	113.0	113.0	113	
LOC107986068	1418.0	1418.0	1418	
LOC105376987	698.3333333333334	575.0	989	
LOC105376988	947.0	947.0	947	
VENTXP7	983.0	983.0	983	HPX42,VENTX1
ZNF385D	4761.888888888889	4424.0	10478	ZNF659
ZNF385D-AS1	732.0	732.0	732	
ZNF385D-AS2	421.0	421.0	421	
HMGB1P5	1195.0	1195.0	1195	HMG-1,HMG1L5,HMGB1L15,HMGB1L5,HMGB1P2
LOC100421669	821.0	821.0	821	
RANP7	686.0	686.0	686	
SALL4P5	2001.0	2001.0	2001	
RPL24P7	549.0	549.0	549	RPL24_2_348
UBE2E2-AS1	487.0	487.0	499	
UBE2E2	3473.4444444444443	2738.0	11555	UBCH8
LOC105376991	366.0	366.0	366	
LOC107986069	4260.0	4260.0	4260	
RNU6-922P	99.0	99.0	99	
RNU6-788P	104.0	104.0	104	
LOC105376993	1951.5	1951.5	3238	
UBE2E1-AS1	778.0	778.0	778	
UBE2E1	1622.0	1635.5	1783	UBCH6
ARL4AP4	716.0	716.0	716	
NKIRAS1	3785.8333333333335	4008.5	4693	kappaB-Ras1,KBRAS1
RPL15	2813.1666666666665	2736.5	4033	DBA12,EC45,L15,RPL10,RPLY10,RPYL10
NR1D2	5101.75	5143.5	5338	BD73,EAR-1R,REVERBB,REVERBbeta,RVR
NPM1P23	1045.0	1045.0	1045	
LINC00691	2241.0	2241.0	2241	
THRB	6405.259259259259	6831.0	7807	C-ERBA-2,C-ERBA-BETA,ERBA2,GRTH,NR1A2,PRTH,THR1,THRB1,THRB2
